genre,track_name,track_id,artists_track,album_name,release_date,popularity,duration_ms
rock,Youngest Daughter,3tYxhPqkioZEV5el3DJxLQ,Superheaven,Jar,2013-04-05,75,249514
rock,De todo el mundo,3yYStumyNYWPHCPHLDxy99,Bunbury,Las Consecuencias,2010-02-16,60,298613
rock,"Call It Fate, Call It Karma",3Y4rUyw7XBCK6hGHCOt6rp,The Strokes,Comedown Machine,2013-03-25,69,204773
rock,The Sound of Silence,3YfS47QufnLDFA71FUsgCM,Simon & Garfunkel,The Singer,2012-08-28,63,184786
rock,Hard to Say I'm Sorry,58DXqHKK7TfxUmhCq2ux4E,Chicago,The Collection,2012-10-29,63,232320
rock,Dark Beach,7fqjWHXf330QwnfaAWB2Dr,Pastel Ghost,Abyss,2015-03-10,73,222000
rock,Yes I'm Changing,0xtIp0lgccN85GfGOekS5L,Tame Impala,Currents,2015-07-17,71,270680
rock,Not Strong Enough,6BD9XMxKnjL6dCJbxXAPUa,"Apocalyptica, Brent Smith",7th Symphony,2010-08-20,67,216520
rock,Follow You,6lFUdRItQEsEuD7dSINL47,Bring Me The Horizon,That's The Spirit,2015-09-11,69,231106
rock,I Am Machine,2UDumaw7osnyjH7RZ2DLpB,Three Days Grace,Human,2015-03-30,72,200146
rock,Lo noto - Remaster 2015,3q6Ta92jThS5sOK8r2YSBD,Hombres G,30 años y un día,2015-06-02,56,261840
rock,Soñé - En Vivo,2VhJ4nrPorAbySEgO4V0BS,Zoé,MTV Unplugged Música De Fondo (Reissue/Live),2011-01-01,74,226626
rock,Not Gonna Die,2jfk3m8nq5IvB35s2xIs1O,Skillet,Rise (Deluxe Edition),2013-06-21,68,225280
rock,遥か彼方,5ORPYXJKlpHWIdceavSGrL,ASIAN KUNG-FU GENERATION,BEST HIT AKG,2012-01-18,66,243346
rock,Wrong Side of Heaven,11Ojp7JniVvwd0gmgvyKkd,Five Finger Death Punch,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",2013-07-26,66,271000
rock,On My Own,6VuztO5yaKP4VjqSkZxpan,Ashes Remain,What I've Become,2011-08-23,64,172960
rock,Fitzpleasure,3qVKp0bGG2uEkrkMOtwb5F,alt-J,An Awesome Wave,2012-05-28,62,219400
rock,Entombed,4bLCPfBLKlqiONo6TALTh5,Deftones,Koi No Yokan,2012-11-09,75,299240
